Ref,Val,Package,PosX,PosY,Rot,Side
"C7","10uF","C_0603_1608Metric",-122.800000,-88.535000,90.000000,bottom
"C8","100nF","C_0603_1608Metric",-122.775000,-92.975000,90.000000,bottom
"C9","10uF","C_0603_1608Metric",-185.020000,-79.790000,0.000000,bottom
"C10","100nF","C_0603_1608Metric",-183.600000,-76.130000,0.000000,bottom
"D6","D_Schottky","D_SOD-123F",-188.570000,-66.002500,90.000000,bottom
"D8","D_Schottky","D_SOD-128",-136.925000,-66.100000,180.000000,bottom
"D10","D_Schottky","D_SOD-128",-122.650000,-66.200000,0.000000,bottom
"D15","D_Schottky","D_SOD-128",-130.200000,-66.100000,180.000000,bottom
"D16","D_Schottky","D_SOD-128",-114.750000,-66.100000,0.000000,bottom
"Q2","PMV20ENR","SOT-23",-185.420000,-66.510000,0.000000,bottom
"Q3","NCV8415STT1G","SOT-223",-138.800000,-72.900000,90.000000,bottom
"Q4","NCV8415STT1G","SOT-223",-123.200000,-72.900000,90.000000,bottom
"Q5","NCV8415STT1G","SOT-223",-131.000000,-72.900000,90.000000,bottom
"Q6","NCV8415STT1G","SOT-223",-115.350000,-72.900000,90.000000,bottom
"R9","470","R_0603_1608Metric",-145.225000,-95.700000,180.000000,bottom
"R10","470","R_0603_1608Metric",-145.225000,-94.200000,180.000000,bottom
"R11","470","R_0603_1608Metric",-145.225000,-92.575000,0.000000,bottom
"R16","10K","R_0603_1608Metric",-150.275000,-91.575000,0.000000,bottom
"R21","10k","R_0603_1608Metric",-140.675000,-84.850000,-90.000000,bottom
"R22","10k","R_0603_1608Metric",-138.675000,-84.850000,-90.000000,bottom
"R23","7.5k","R_0603_1608Metric",-170.150000,-64.550000,0.000000,bottom
"R24","2.4k","R_0603_1608Metric",-170.150000,-66.050000,180.000000,bottom
"R25","500","R_0603_1608Metric",-118.160000,-91.410000,-90.000000,bottom
"R26","500","R_0603_1608Metric",-109.675000,-91.400000,-90.000000,bottom
"R27","1K","R_0603_1608Metric",-120.210000,-81.000000,0.000000,bottom
"R28","24k","R_0603_1608Metric",-170.250000,-92.075000,180.000000,bottom
"R29","1K","R_0603_1608Metric",-113.690000,-81.000000,180.000000,bottom
"R30","47k","R_0603_1608Metric",-170.250000,-93.575000,0.000000,bottom
"R33","500","R_0603_1608Metric",-119.680000,-91.410000,-90.000000,bottom
"R34","500","R_0603_1608Metric",-111.175000,-91.400000,-90.000000,bottom
"R35","1K","R_0603_1608Metric",-117.200000,-81.000000,0.000000,bottom
"R36","1K","R_0603_1608Metric",-110.690000,-81.000000,0.000000,bottom
"U4","LTV-247","SOP-16_4.4x10.4mm_P1.27mm",-114.900000,-85.825000,-90.000000,bottom
"U6","PCA9685BS","QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm",-175.810000,-68.310000,0.000000,bottom
